frame,timestamp,framerate
0,288782125006419,3.46784e-06
1,288782368661034,4.10417
2,288782383658805,66.6766
3,288782398757799,66.2296
4,288782414411724,63.8817
5,288782431232535,59.4502
6,288782446550337,65.2835
7,288782461435086,67.1829
8,288782477082936,63.9065
9,288782493570378,60.6522
10,288782508197952,68.364
11,288782524426329,61.6205
12,288782540626113,61.7292
13,288782554913487,69.9919
14,288782571107439,61.7514
15,288782586529110,64.8438
16,288782602096959,64.2349
17,288782618950899,59.3333
18,288782634473793,64.421
19,288782649506367,66.5222
20,288782664683661,65.8879
21,288782679857553,65.9027
22,288782696473110,60.1846
23,288782712412155,62.739
24,288782726868414,69.1742
25,288782743531599,60.0125
26,288782759087163,64.2857
27,288782774346861,65.5321
28,288782789986449,63.9403
29,288782806453614,60.7269
30,288782822592135,61.9635
31,288782835601356,76.8686
32,288782852261085,60.025
33,288782868001707,63.5299
34,288782884013085,62.4556
35,288782898340122,69.7981
36,288782914917987,60.3214
37,288782930034261,66.1539
38,288782946775665,59.7321
39,288782961395625,68.3996
40,288782977794696,60.9791
41,288782991781938,71.4937
42,288783008947404,58.2565
43,288783024663969,63.6271
44,288783038899260,70.2479
45,288783054586962,63.7442
46,288783070283979,63.7064
47,288783086712993,60.8679
48,288783101491119,67.6676
49,288783117727623,61.5896
50,288783134347581,60.1686
51,288783149970942,64.0067
52,288783165310992,65.1888
53,288783180959517,63.9038
54,288783195832305,67.2369
55,288783211583376,63.4877
56,288783227920266,61.2112
57,288783242977464,66.4134
58,288783259778322,59.5208
59,288783274981644,65.7751
60,288783290241126,65.533
61,288783305070444,67.434
62,288783321353820,61.4123
63,288783335861406,68.9295
64,288783351978921,62.0443
65,288783368454213,60.697
66,288783382746555,69.9675
67,288783398756448,62.4614
68,288783415237275,60.6766
69,288783431137062,62.8939
70,288783446728320,64.1385
71,288783462181284,64.7125
72,288783476440929,70.128
73,288783492492348,62.2998
74,288783509023260,60.4927
75,288783524830275,63.2631
76,288783539077419,70.1895
77,288783554895288,63.2196
78,288783572138541,57.9937
79,288783587375748,65.6288
80,288783602979345,64.0878
81,288783618340806,65.098
82,288783633729888,64.9811
83,288783649742238,62.4518
84,288783664374672,68.3413
85,288783680216058,63.1258
86,288783696536451,61.273
87,288783712310580,63.3949
88,288783727998417,63.7437
89,288783742652505,68.2403
90,288783759335616,59.9409
91,288783773828352,69.0001
92,288783789016338,65.8415
93,288783805686300,59.9881
94,288783820958634,65.4779
95,288783836240256,65.4381
96,288783851336199,66.243
97,288783867279726,62.7214
98,288783883620990,61.1948
99,288783898753140,66.0845
