frame,timestamp,green_x,green_y,red_x,red_y
147,28323597184488,409.5,122.5,415.5,160
148,28323625329018,408.667,124.5,415,161.5
149,28323655207299,407.5,128.5,414.667,165.333
150,28323687531267,405.2,132.8,414,169
151,28323718728417,405,136,413.5,170.5
152,28323749478285,403,137.5,412.75,174
153,28323780316713,404,141.5,412,177.5
154,28323812919375,402,145.5,411,181.5
155,28323847330902,399.667,148.444,410.333,185.333
156,28323873549090,398.7,150.7,410,187
157,28323890727867,397.2,152.2,409.5,188.5
158,28323906967908,397.5,154.5,409,190.5
159,28323923238027,396.462,156.615,408.5,192.5
160,28323952382043,396,161.5,407.5,196.5
161,28323970027380,394,166,407.25,199
162,28323999507276,393,168,407,201
163,28324015750908,392.286,167.857,406.5,202.5
164,28324046841840,392,171.5,405.333,205.667
165,28324077683022,389.667,174.333,405,208.5
166,28324094800158,389.8,176.8,404.667,210.333
167,28324110200175,390,177.5,404,211.5
168,28324126518381,387.5,178.5,403.667,212.667
169,28324156121262,387.5,180.5,403.5,214.5
170,28324173413142,386.857,182.143,403,215.5
171,28324185544296,388,184,402.5,217.5
172,28324202295042,385.917,184.833,402,218.5
173,28324217657529,385.333,186.167,401.333,219.667
174,28324233094320,386,187.5,401,221.5
175,28324251098811,383.333,188.667,400.5,222.5
176,28324264180986,383.5,190.5,400,224
177,28324298493531,382.462,192.385,399,225
178,28324327799547,382,196,399,228.5
179,28324357797330,380.455,196.636,398.5,229.5
180,28324389382956,379.667,200.333,397.5,232.5
181,28324423103580,378,206,397,235.5
182,28324451292957,376.5,207,396,238.5
183,28324470016593,375.833,208.167,395.333,239.667
184,28324482834033,375,212,395,241.5
185,28324500543225,374.714,211.143,394.667,242.667
186,28324531005354,373.2,212.2,394.333,244.667
187,28324547039196,374,216,394,246.5
188,28324577069406,372,218.5,392.667,249.333
189,28324594154736,370.769,220.615,392.25,251
190,28324624768092,370.2,222.1,391.5,252.5
191,28324654367031,370,225.5,391,255.5
192,28324669968306,368.6,226.7,390.5,257
193,28324685530836,367.615,228.385,390,258.5
194,28324701513486,367,232,389.5,259.5
195,28324717274439,366.286,231.143,388.667,261.333
196,28324732937544,365.7,232.7,388.5,262.5
197,28324748755224,365,234.5,388,263.5
198,28324780683102,364.5,236.5,387.667,265.333
199,28324797989265,364,240,387,266.5
200,28324813349457,363,242,386.5,268.5
201,28324829897487,362.714,241.143,386,270.5
202,28324845110988,361.556,242.778,385.333,271.667
203,28324860599133,361.333,244.667,385,273.5
204,28324875579165,360.545,246.364,384.5,274.5
205,28324888629696,359.25,246.5,384,276
206,28324920563811,360,250,383.667,277.333
207,28324952268210,358.417,252.25,382.667,280.333
208,28324983639807,357.167,255.167,381.5,282.5
209,28325014395507,356.545,256.364,381.333,284.333
210,28325031555303,356,260,380.5,285.5
211,28325047532283,0,0,380.333,286.667
212,28325062491957,355.667,262,380,288.5
213,28325077385211,354.636,262.636,379,290
214,28325092527756,356,264,379.333,290.667
215,28325107821771,353.5,264.5,378.667,291.667
216,28325124505611,353.5,266.5,378.667,293.333
217,28325156016879,354,267.5,378.5,294.5
218,28325189065284,352.286,269.857,377.667,296.667
219,28325217862080,351.714,271.857,377.333,298.667
220,28325250338220,351.444,274.222,377,300.5
221,28325279855835,350.75,274.875,376.5,301.5
222,28325312293635,352,277.5,376.333,303.667
223,28325343220839,350.182,280.455,376,306
224,28325360356821,350.214,280.929,375,307
225,28325390041944,351,283,375,307.5
226,28325420667207,350.25,284,375,309.5
227,28325453529717,348.842,285.421,375,311
228,28325483720658,348.143,287.071,374,312.5
229,28325498782338,347.5,288.4,373,314
230,28325529535419,346.929,289.929,373.333,314.667
231,28325562640767,345.5,291.5,373.333,316.667
232,28325593724328,345.4,292.6,372.333,318.667
233,28325623951989,346,295.5,372,320.5
234,28325638855638,344.455,296.636,372,322
235,28325670267087,344.444,298.222,371.667,322.333
236,28325701908522,344,299,371.5,323.5
237,28325734030800,343,304,371,325.5
238,28325764253304,342.571,303.857,371,327
239,28325796168384,344,303.5,370.5,327.5
240,28325827353600,342.143,304.429,370.667,328.333
241,28325858467428,342.222,305.889,371,329
242,28325873385279,342.083,306.417,0,0
243,28325888965953,342.4,306.4,0,0
244,28325904628491,342.4,306.4,371,329.5
245,28325921101434,342.4,306.6,370.667,329.333
246,28325953002717,342.444,307.056,370.5,329.5
247,28325983322070,342.077,306.923,370.5,329.5
248,28326014935128,341.5,306.5,370.333,329.667
249,28326046748013,341.909,306.364,370.333,329.667
250,28326062781585,341.857,306,370.333,329.667
251,28326077164539,342.222,305.889,370.333,329.667
252,28326092933619,342.286,305.857,370.5,330
253,28326107967921,342.286,305.857,370,330.5
254,28326123808794,342.4,306.3,369.667,330.667
255,28326139523631,342.455,306.182,369.5,331.5
256,28326154713021,343.091,306.364,369.5,332
257,28326186154683,343.667,306.333,369.667,332.333
258,28326203565768,343.667,306.333,369.5,332.5
259,28326218859864,343.857,306.571,369.333,332.667
260,28326249568368,344.455,306.636,369,333.5
261,28326264730434,344.5,307,368.5,333.5
262,28326280208589,344.143,306.857,368.333,333.333
263,28326296521098,343.333,308,367.5,332.5
264,28326326832783,342.75,306.875,367,331.5
265,28326358346616,341,306,365.5,330.5
266,28326389426451,339,303,363.667,328.333
267,28326421694178,338,299.5,361.5,325
268,28326451822803,335,300,360.333,323.667
269,28326469475241,334.2,296.2,358.667,321.333
270,28326485305098,334,293.5,357.5,319
271,28326500906832,332,291.5,355.6,316.8
272,28326516056073,329.2,288.8,354.333,314.667
273,28326532087674,327.5,286.5,352.5,312
274,28326547559646,328,283.5,351.5,309.5
275,28326561211332,325.6,281,349.6,306.8
276,28326580773534,323.8,278.8,348,304.5
277,28326609086058,321.625,274.25,346.5,301
278,28326623550390,320.7,272.3,344.6,297.8
279,28326640303107,319.8,268.8,343,294.5
280,28326656150595,317.2,264.2,341.5,292
281,28326671747820,316,262,339.667,288.333
282,28326687351606,314.818,258.455,338.4,285.2
283,28326718850859,313.375,254.75,336.6,281.8
284,28326749240250,310.25,246.417,332.5,274
285,28326779594865,307.5,237,329.333,267
286,28326810879090,305.2,234.2,327.333,263
287,28326843384822,302.455,226.364,323.5,255.5
288,28326873394053,299.8,218.8,319.333,247
289,28326889678401,297.714,213.857,317.333,243
290,28326905531748,295.333,208.167,314.75,237.75
291,28326920994999,293.8,204.8,312.75,233.75
292,28326936574080,292,200.5,310.6,229.4
293,28326952659816,289.333,194.167,308.5,225
294,28326984216012,287.667,190.833,306.5,221
295,28327013752554,283,182,301.5,211
296,28327050314550,279.333,170.167,297,202
297,28327076646570,277.667,166.833,294.75,197.75
298,28327109331339,273.2,156.2,290.5,189
299,28327142454507,270.4,148.5,286.5,180.5
300,28327170925089,267.8,140.8,0,0
301,28327202526321,266,136.4,0,0
302,28327233864465,263.5,128.5,0,0
303,28327263907743,262,122.5,0,0
304,28327295846286,260,118,0,0
305,28327327392492,258.889,110.444,0,0
306,28327359689649,260,107.5,270,142
307,28327394640447,257.5,104.5,268.5,137.5
308,28327421752200,256,100,267.667,134.333
309,28327453121286,257.5,96.5,267,131.5
310,28327483583388,258,96,266.667,130.333
311,28327500483660,257.5,94.5,266.667,129.333
312,28327515789609,257.5,94.5,266.5,128
313,28327531025655,257.5,92.5,266.5,127.5
314,28327545757422,257.5,91,266.333,126.667
315,28327560989418,257.25,91.5,266.5,126
316,28327577716782,258.222,91.1111,266.5,125.5
317,28327593869073,257.857,91,266.667,125.333
318,28327609791162,257.857,91,267,125.5
319,28327640936202,258.182,90.8182,267.333,125.667
320,28327674938004,259.667,92,268.333,125.667
321,28327703494635,259.5,92.5,269.5,127
322,28327732930710,259.333,94,0,0
323,28327766001957,262,96,0,0
324,28327796226999,261.571,98.7143,0,0
325,28327826476773,263.667,102.667,0,0
326,28327859030997,265.286,104.714,0,0
327,28327873673610,265,108,0,0
328,28327905351090,267.2,112.2,0,0
329,28327937848182,272,119,0,0
330,28327968048033,273,126.5,289.667,158
331,28328000168691,275.2,128.2,291.5,161
332,28328030375157,278.7,136.6,296,168.5
333,28328061595203,281,144.5,300.25,175.25
334,28328077869237,283.8,148.8,302.5,179
335,28328093550702,285.8,152.8,304.5,183
336,28328108760342,287.8,156.8,306.5,186
337,28328124234528,290,161,308.5,190
338,28328156886276,290.182,164.545,310.5,194
339,28328170460877,291.2,168.2,313,198
340,28328190950232,294,176,315,202
341,28328217070005,296.75,182.583,319.4,210.2
342,28328233343877,297.875,186.625,321.333,213.667
343,28328248267506,299.2,190.2,323,217.5
344,28328279982381,302,194.5,324.667,221
345,28328311081170,303.2,202.2,328.5,228
346,28328328942723,306,207,330.333,232
347,28328358065355,307.5,214.5,333.333,238.667
348,28328389453854,308.182,218.545,335.25,242.25
349,28328420483172,310.818,226.455,338,249
350,28328451758109,314,233,340.667,255.333
351,28328483939409,315.8,240.8,343.6,261.8
352,28328513964273,316,244,345,264.5
353,28328529931020,317.5,246.5,346.333,267.667
354,28328545860075,318.4,250.5,347.333,270.667
355,28328561543889,319,251,348.5,273.5
356,28328577539391,320.364,256.636,349.667,276.333
357,28328594978826,321,258.333,350.667,279.333
358,28328610467295,324,261.5,352,282.5
359,28328623843959,323.5,264.5,352.667,284.333
360,28328641095042,324.385,266.615,353.5,286.5
361,28328657869413,325,269.286,354.667,289.333
362,28328686842465,326.143,270.857,355.5,291
363,28328703597855,328,273,356.5,293.5
364,28328718570975,327.2,275,357,295.5
365,28328733496224,328.3,276.7,357.5,297
366,28328748457383,329.333,278.667,358,298.5
367,28328765270769,329,282,358.5,300.5
368,28328781754755,329.5,280.5,358.5,301.5
369,28328812058907,329.714,281.857,358.5,303
370,28328842801296,332,283.5,358.667,304.667
371,28328874873786,330.444,283.889,358.333,305.667
372,28328906731653,330.3,284.2,358,306.5
373,28328921850870,330,284,357.5,306.5
374,28328936316687,329.667,283.833,357,306.5
375,28328953915341,330,283.5,356.5,306
376,28328969306610,328.538,282.846,355.5,305.5
377,28328985131202,327,282,354.667,305.333
378,28329001196931,327.333,280.444,353.5,304.5
379,28329030480024,328,279.5,352.5,303.5
380,28329062630274,325.333,276.667,350.5,301.5
381,28329094448451,322.8,272.8,348.333,298.667
382,28329123971979,321,268.5,346,296
383,28329139653822,320.455,266.636,344.333,293.667
384,28329154679376,319.5,264.5,342.5,291.5
385,28329172325280,318.545,262.364,341.5,289.5
386,28329201374472,318,262,339.5,287.5
387,28329217900173,316.455,256.636,338.333,285.667
388,28329233599755,315.333,254.444,336.667,283.333
389,28329248647773,316,251.5,335.333,280.667
390,28329264314118,313.333,248.667,333.667,278.333
391,28329282746613,312.7,246.3,332,276
392,28329295407237,311.2,242.2,330.5,273
393,28329311445777,310.545,240.364,328.667,270.333
394,28329342594300,309.5,236.5,327.333,267.667
395,28329358389165,308.444,232.778,325.5,264.5
396,28329373226205,307.375,230.75,323.667,261.333
397,28329389598519,305.571,226,322.333,258.667
398,28329404504004,305.333,222.167,320.4,255.2
399,28329436419921,304,222,318.5,252
400,28329467752098,301.333,212.667,315,245.5
401,28329500371068,298.3,204.7,311.333,238.667
402,28329530070312,295.25,199.25,307.5,232
403,28329547102911,294.545,194.636,305.667,228.333
404,28329562457973,293.5,190.5,303.75,224.75
405,28329594485454,291.2,186.2,302,221
406,28329627053151,289,182,298.5,214
407,28329656873193,285.25,172.5,0,0
408,28329693058890,283.333,164.167,291.5,200
409,28329718006971,281,161.5,290,196.5
410,28329734246418,280.7,158.3,288.25,193.25
411,28329749084403,279.5,154.5,286.75,189.75
412,28329763948632,278.3,150.7,285.333,186.667
413,28329780465504,277.8,148.8,284,183.5
414,28329796329543,276.3,144.7,282.667,180.333
415,28329827644251,275.8,142.8,281.333,177.667
416,28329844874922,274.3,138.7,280.333,174.667
417,28329857888004,273.5,136.5,279.4,172.2
418,28329875669151,272.714,133.857,278.5,169.5
419,28329890962977,271,132,277.5,166.5
420,28329921657792,270.455,126.636,276,162.5
421,28329953124024,269.667,124.667,275.5,160.5
422,28329984692316,269.25,120.875,274.667,156.333
