Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-28 15:24:4
frame,cam_timestamp,green_x,green_y,red_x,red_y
145,95603418558405,280.714,203.143,311,183
146,95603434550910,282,203.5,0,0
147,95603449491252,280.714,203.143,312,184
148,95603481296469,282,203.5,312,184
149,95603497645725,282,203.5,311.333,184.333
150,95603512675410,282,203.5,311.333,184.333
151,95603528635839,282,203.5,311.333,184.333
152,95603543567109,282,203.5,311.333,184.333
153,95603559280110,280.286,203.857,311.333,184.333
154,95603574739365,280.375,203.75,311,184.5
155,95603590003815,280.75,204,310.667,184.667
156,95603621277402,280.8,204.4,310.5,185
157,95603637203946,280.583,204.417,310.667,185.333
158,95603654244699,280.6,204.5,310.5,185.5
159,95603668913907,280.455,204.818,310.5,185.5
160,95603683592565,280.583,204.917,310.5,185.5
161,95603699313774,280.222,205.111,310.667,185.667
162,95603715929250,279.857,205,310.667,185.667
163,95603732680590,279.333,206,310.667,185.667
164,95603762045628,279.25,205.5,310.5,186
165,95603777745183,280,207,310.333,186.333
166,95603793417657,280,207.5,310.333,186.333
167,95603810124771,280,207.5,310,186.5
168,95603825807397,278.75,206.125,309.667,186.667
169,95603841452385,278.75,206.125,309.667,186.667
170,95603872862565,279.333,206.556,309.667,186.667
171,95603888521647,279.2,206.2,309.5,187
172,95603903245692,279.143,206.429,310,187
173,95603919871644,279.143,206.429,309.5,187.5
174,95603934556593,278.545,206.636,309.5,187.5
175,95603949287145,278.231,206.615,309.5,187.5
176,95603964997635,278,207,309,186.5
177,95603981669379,278,205.5,307.5,185.5
178,95604013010790,275.667,206.333,305.667,184.667
179,95604028681914,274.5,204.667,304.5,183.5
180,95604044371803,272.3,203.5,302,182.25
181,95604059046384,270.308,202.615,299.5,180.5
182,95604075746802,267,202,297.333,179.333
183,95604106168350,265.667,200.667,295,178.25
184,95604122808342,263.909,200.364,292,177
185,95604137750736,260.917,200.667,288.667,176.333
186,95604153243066,260,201.5,0,0
187,95604169953879,254.556,202.222,0,0
188,95604184569438,252.5,204,0,0
189,95604199317837,247.9,204.3,0,0
190,95604231939237,244,207,267,178
191,95604262365186,235,208.818,255.2,179.2
192,95604278376672,229.353,210.588,248.5,180
193,95604293758599,223.5,212.5,242.2,181.2
194,95604309444924,217.75,214.5,235.8,182.8
195,95604324290847,209,218,229.25,184.75
196,95604340773591,205.308,220.231,221.833,187.167
197,95604356306556,198.929,222.643,214.6,189.6
198,95604387876171,192.083,226.333,207.8,192
199,95604404373414,187.111,228.778,200,195.2
200,95604418030689,178.714,233.714,193,198.667
201,95604433659639,175.25,238.5,185,202.667
202,95604450438924,169,245,177,207.6
203,95604465800061,163,249.857,169.5,213
204,95604481045206,158.133,255.4,163,218
205,95604512578749,152.5,261.5,156.2,223.6
206,95604528764979,148.167,267,150,229
207,95604543990738,142.909,274.182,144,235
208,95604558736005,138.556,280.556,137.5,241.5
209,95604575404644,135.667,289,131.167,248.167
210,95604591254238,132.833,293.333,125.6,255.2
211,95604621655347,130.3,300.3,119.8,262.2
212,95604637910751,127.429,307.143,115,269.5
213,95604653377296,124.538,313.538,110,277.5
214,95604669069777,121.857,321.429,106.667,284
215,95604684591348,120,330,103.2,292
216,95604699854637,117.545,335.909,100.4,299
217,95604715574091,115.917,342,97.4,306.4
218,95604746975658,114.412,347.647,95.25,312.5
219,95604763659363,113.8,352.2,93,318.5
220,95604793102026,110.5,362.5,89.6667,328.333
221,95604809428953,109.2,366.2,88,333
222,95604825811851,109.8,370.2,87,338
223,95604840261441,109.8,374.2,86.5,342
224,95604856471728,109.8,378.2,86.25,346
225,95604872865534,109.8,382.2,86,350.5
226,95604888370878,109.2,386.2,86,355
227,95604918218946,110,390.4,86,359.5
228,95604950753325,112.2,398.9,86.75,368.75
229,95604981201900,113.667,402.833,87.6,372.8
230,95604997873725,115.8,406.8,88.75,377.75
231,95605013529270,118,410.5,89.75,381.75
232,95605028879958,119,412.6,91.25,386.25
233,95605044484068,121.5,416.5,92.5,390
234,95605060183164,124,420,94,394
235,95605075083438,126.25,422.667,95.5,398
236,95605090712415,128.778,424.667,97.3333,400.667
237,95605106371227,131,428,99.3333,403.667
238,95605122981789,136,429.5,102,406.5
239,95605152434334,138,430.545,104.667,408.333
240,95605168197501,140.917,432.333,107.8,410.6
241,95605183794537,144.833,433.5,111.2,412.4
242,95605200438066,148.5,433.667,114.5,413.5
243,95605216165026,152.2,433.8,118,414
244,95605230862368,156.5,431.333,122.5,413.5
245,95605247510649,160.364,430.545,126,412.75
246,95605262232669,164.545,429,129.8,411.4
247,95605278905358,168.417,426.917,134,409.5
248,95605294575834,172.4,424.7,137.8,407.4
249,95605325004456,177.5,421.5,142.5,404.5
250,95605340674581,182.625,417.75,0,0
251,95605357237704,186.833,413.833,0,0
252,95605372979163,192.5,408.5,157.5,391.5
253,95605387748109,196.5,402.25,161,387.25
254,95605403405247,200.833,397,166.2,380.4
255,95605419076263,206.273,390.182,171.25,373.5
256,95605449450426,210.5,383.5,176.2,366
257,95605466150331,214.8,377.3,180.5,359
258,95605480887471,220.154,369.077,186.333,350
259,95605497556704,225.5,359.944,191.286,341.857
260,95605513204014,230.588,351.353,196.714,332.286
261,95605528875705,234.5,343.5,201.714,323.286
262,95605559280270,238,338,207,313.5
263,95605576017111,244.625,325.625,212.286,304.429
264,95605590847482,249.421,317.211,218,294.833
265,95605605565938,254.684,308.737,223.667,285.5
266,95605622044659,260.6,299.4,229.667,276
267,95605638751692,266.35,289.9,236,266
268,95605668143433,271.647,281.588,241.714,257.143
269,95605684156917,276.786,273.643,247.625,248.125
270,95605700522265,282.688,265.25,253.286,240.143
271,95605732122876,294.688,249.25,266.286,223.143
272,95605763676237,300.588,241.353,272.625,215.125
273,95605793173926,312.154,227.538,285.833,198.833
274,95605825671234,324.632,213.368,298.286,185.286
275,95605856014428,337.474,201.158,310.5,173
276,95605871753349,342.905,195.333,316.714,166.714
277,95605887591360,348.5,189.5,322.5,160.5
278,95605903752669,353.818,183.818,328.286,154.286
