frame,timestamp,green_x,green_y,red_x,red_y
140,29152793782782,306.1,188.6,303.5,225.5
141,29152824783561,306.1,188.6,303.5,225.5
142,29152855424430,306.273,188.636,303.5,225.5
143,29152871730189,306.273,188.636,303.5,225.5
144,29152886750478,306.417,188.75,303.5,225.5
145,29152904116851,306.417,188.75,303.5,225.5
146,29152933386147,306.273,188.636,303.5,225.5
147,29152963866015,306.273,188.636,303.5,225.5
148,29152995512391,306.273,188.636,303.5,225.5
149,29153028309804,306.417,188.75,303.5,225.5
150,29153058896781,306.273,188.636,303.5,225.5
151,29153090671677,306.417,188.75,303.5,225.5
152,29153120938515,306.417,188.75,303.5,225.5
153,29153152094139,306.444,189.111,303.5,225.5
154,29153167206120,306.273,188.636,303.5,225.5
155,29153199524553,306.417,188.75,303.5,225.5
156,29153230648560,306.444,189.111,303.5,225.5
157,29153262382605,306.273,188.636,303.5,225.5
158,29153293696368,306.417,188.75,303.5,225.5
159,29153325126852,306.444,189.111,303.5,225.5
160,29153353985532,306.417,188.75,303.5,225.5
161,29153369990889,306.417,188.75,303.5,225.5
162,29153387815641,306.417,188.75,303.5,225.5
163,29153402686512,306.25,189,303.5,225.5
164,29153432874564,306.444,189.111,303.5,225.5
165,29153463840729,306.545,188.818,303.5,225.5
166,29153482245360,306.417,188.75,304,226
167,29153511660807,306.417,188.75,304,226
168,29153543233176,306.417,188.75,304,226
169,29153573830791,306.417,188.75,304,226
170,29153590706331,306.545,188.818,304,226
171,29153606725404,306.455,188.636,303.5,226
172,29153622599892,306.545,188.818,303.5,226
173,29153638119195,306.417,188.75,303.5,226
174,29153666975607,306.545,188.818,303.5,226
175,29153683686798,306,188.375,303.5,226
176,29153698799427,306.6,188.7,303.5,226
177,29153714869449,306.143,188.857,303.5,226
178,29153729947680,306,188.75,303.5,226
179,29153747195064,306.455,188.636,303.5,226
180,29153762948700,305.25,188.5,303.5,226
181,29153778305436,306.143,188.857,303.5,226
182,29153793758508,306.143,188.857,303.5,226
183,29153824482834,305.333,190,303.667,225.667
184,29153859629193,305.875,189.25,303.667,225.667
185,29153885762223,306.2,189.3,303.667,225.667
186,29153902248126,305.333,190,303.5,226
187,29153932389846,305.333,190,303.5,226
188,29153947992309,305.875,189.25,303.667,225.667
189,29153970234774,305.333,190,303.5,226
190,29153995789977,305.714,189.143,303.667,225.667
191,29154011677614,305.875,189.25,303.5,226
192,29154026963286,305.875,189.25,303.667,225.667
193,29154042480645,305.875,189.25,303.5,226
194,29154073231890,306.1,189.1,303.667,225.667
195,29154090066984,306.1,189.1,303.667,225.667
196,29154105577620,305.875,189.25,303.667,225.667
197,29154122125704,305.875,189.25,303.667,225.667
198,29154137394366,306.1,189.1,303.5,226
199,29154152432502,305.875,189.25,303.667,225.667
200,29154167371656,305.875,189.25,303.667,225.667
201,29154183945336,305.875,189.25,303.667,225.667
202,29154198087963,305.875,189.25,303.5,226
203,29154233001825,305.875,189.25,303.5,226
204,29154260408445,305.875,189.25,303.667,225.667
205,29154292076583,306.222,189.111,303.667,225.667
206,29154308384799,305.875,189.25,303.5,226
207,29154324695175,306,189.286,303.5,226
208,29154340841229,306,189.286,303.667,225.667
209,29154356751330,306.222,189.111,303.5,226
210,29154370427262,306,189.286,303.667,225.667
211,29154386258928,306.222,189.111,303.5,226
212,29154402896382,306.222,189.111,303.667,225.667
213,29154418889346,306,189.286,303.5,226
214,29154433951512,306,189.286,303.5,226
215,29154450657978,306,189.286,303.5,226
216,29154480728742,306,189.286,303.5,226
217,29154511008594,306,189.286,303.5,226
218,29154542537979,306,189.286,303.5,226
219,29154574998405,306,189,303.5,226
220,29154605065632,306,189.286,304,226
221,29154636107235,306,189,304,226
222,29154652829307,306,189.286,304,226
223,29154669753393,306,189.286,304,226
224,29154682339632,306,189.286,304,226
225,29154715298667,306.222,189.111,304,226
226,29154730328487,305.875,189.25,303.5,225.5
227,29154745487880,306.222,189.111,304,226
228,29154761875800,305.857,189,304,226
229,29154778309512,306,189.286,304,226
230,29154794412663,306,189,304,226
231,29154810190950,305.857,189,303.5,225.5
232,29154839177718,306,189,304,226
233,29154870149283,305.857,189,303.5,225.5
234,29154901807269,305.857,189,303.5,225.5
235,29154933471276,305.857,189,303.5,225.5
236,29154964479831,305.857,189,303.5,225.5
237,29154994783875,305.857,189,303.5,225.5
238,29155029138837,305.857,189,303.5,225.5
239,29155057934823,305.667,188.667,303.5,225.5
240,29155089947940,305.857,189,303.5,225.5
241,29155120732098,305.857,189,303.5,225.5
242,29155152196710,305.857,189,303.5,225.5
243,29155183409790,305.857,189,303.5,225.5
244,29155215144213,305.857,189,303.5,225.5
245,29155245274566,305.857,189,303.5,225.5
246,29155276331073,305.857,189,303.5,225.5
247,29155308961140,305.857,189,303.5,225.5
248,29155341833316,305.857,189,303.5,225.5
249,29155371448995,305.667,188.833,303.5,225.5
250,29155402758924,305.75,188.875,303.5,225.5
251,29155432997817,305.667,188.833,303.5,225.5
252,29155464133083,305.75,188.875,303.5,225.5
253,29155497054966,305.75,188.875,303.5,225.5
254,29155527837504,306.1,188.6,303.5,225.5
255,29155559122566,305.75,188.875,303.5,225.5
256,29155590385866,305.571,188.714,303.5,225.5
257,29155619947923,305.571,188.714,303.5,225.5
258,29155652649729,305.571,188.714,303.5,225.5
259,29155682765151,306.1,188.6,303.5,225.5
260,29155715236701,306.1,188.6,303.5,225.5
261,29155731911523,305.571,188.714,303.5,225.5
262,29155745377449,306.1,188.6,303.5,225.5
263,29155777909155,306.1,188.6,303.5,225.5
264,29155809180366,306.182,188.727,303.5,225.5
265,29155823631927,306.1,188.6,303.5,225.5
266,29155839888168,306.1,188.6,303.5,225.5
267,29155872048624,305.571,188.714,303.5,225.5
268,29155907145816,306.182,188.727,303.5,225.5
269,29155932632169,306.1,188.6,303.5,225.5
270,29155950643464,306.222,188.667,303.667,225.333
271,29155966685190,306.1,188.6,303.5,225.5
272,29155996411704,306.1,188.6,303.5,225.5
273,29156027508846,305.571,188.714,303.5,225.5
274,29156058174798,305.571,188.714,303.5,225.5
275,29156074114005,306.3,188.8,303.5,225.5
276,29156089974993,305.571,188.714,303.5,225.5
277,29156105638773,305.571,188.714,303.5,225.5
278,29156121592911,305.857,189,303.5,225.5
279,29156151310164,305.667,188.833,303.5,225.5
280,29156183449398,305.667,188.833,303.5,225.5
281,29156215157604,305.667,188.833,303.5,225.5
282,29156245347951,306.222,189.111,303.5,225.5
283,29156263030035,305.667,188.833,303.5,225.5
284,29156278327938,305.714,189.143,304,226
285,29156293469295,305.857,189,303.5,225.5
286,29156308946613,305.857,189,304,226
287,29156324192784,305.857,189,303.5,225.5
288,29156338655550,305.875,189.25,303.5,225.5
289,29156354265519,306.222,189.111,304,226
290,29156370447834,305.667,188.833,303.5,225.5
291,29156388940890,305.875,189.25,304,226
292,29156417044488,305.714,189.143,303.5,225.5
293,29156432943195,305.714,189.143,304,226
294,29156465353617,305.875,189.25,304,226
295,29156495764689,305.875,189.25,304,226
296,29156526226683,305.857,189,304,226
297,29156541782571,305.857,189,304,226
298,29156557704714,305.875,189.25,304,226
299,29156574024351,305.875,189.25,303.5,226
300,29156588794809,306.222,189.111,304,226
301,29156605410744,306,189,303.5,226
302,29156620766265,306,189,303.667,225.667
303,29156637986163,306,189.286,303.5,226
304,29156654509380,306.222,189.111,303.5,226
305,29156683706235,306,189.286,303.5,226
306,29156700176829,306.222,189.111,303.5,226
307,29156716449486,306.222,189.111,303.667,225.667
308,29156732267598,306,189,303.5,226
309,29156746770864,306.25,188.875,303.667,225.667
310,29156761854144,306,189.286,303.5,226
311,29156778600219,306.222,189.111,303.5,226
312,29156807194407,306.25,188.875,303.5,226
313,29156823539991,306.222,189.111,303.667,225.667
314,29156854478697,306.222,189.111,303.667,225.667
315,29156885909613,306.222,189.111,303.5,226
316,29156918725710,306.222,189.111,303.5,226
317,29156954095818,305.7,188.9,303.5,226
318,29156980811616,306.222,189.111,303.667,225.667
319,29156997043017,306,189,303.5,226
320,29157012187965,306.222,189.111,303.5,225.5
321,29157027439590,306.222,189.111,303.5,226
322,29157057676269,305.7,188.7,303.5,225.5
323,29157089892426,306.222,189.111,303.5,225.5
324,29157121086012,306.222,189.111,303.5,225.5
325,29157151445109,306,189,303,226
326,29157167574099,305.909,188.636,303,226
327,29157183422397,306,189,304,225
328,29157199679286,306.222,189.111,303.5,225.5
329,29157214656699,306.25,188.875,0,0
330,29157230749293,306.222,189.111,303.5,225.5
331,29157248051757,305.833,189.167,303.5,225.5
332,29157276304125,306.222,189.111,303,226
333,29157308579169,306.222,189.111,303.5,225.5
334,29157340884156,306,189.286,304,225
335,29157371598735,305.909,188.636,304,225
336,29157385663143,306,188.667,304,225
337,29157402626217,306,189,304,225
338,29157418774134,305.667,188.444,304,225
339,29157438194397,306.222,189.111,304,225
340,29157464155437,306,188.667,304,225
341,29157496282278,306,189,304,225
342,29157527388951,306,189,304,225
343,29157559034112,306,189,304,225
344,29157590148264,306,189,304,225
345,29157620372523,305.8,188.8,304,225
346,29157638628087,305.857,189,0,0
347,29157651419688,305.667,188.667,304,225
348,29157684566886,305.857,189,304,225
349,29157700183821,305.857,189,304,225
350,29157716411901,305.857,189,304,225
351,29157731933499,305.857,189,304,225
352,29157747764085,305.857,189,304,225
353,29157762898692,305.857,189,304,225
354,29157777971685,305.667,188.667,304,225
355,29157792674481,305.857,189,304,225
356,29157807646737,305.857,189,304,225
357,29157825412494,305.667,188.833,304,225
358,29157856120944,305.857,189,304,225
359,29157886961370,305.857,189,304,225
360,29157918778548,305.857,189,304,225
361,29157949008072,305.857,189,303.5,225
362,29157979491207,306.222,189.111,303.667,225.333
363,29158011818172,306.3,188.8,303.667,225.333
364,29158042298742,305.857,189,304,225
365,29158074807282,306.222,188.667,304,225
366,29158105280238,305.571,188.714,303.667,225.333
367,29158136102061,306.1,188.6,303.667,225.333
368,29158168075299,306.1,188.6,303.667,225.333
369,29158182364725,306.1,188.6,303.667,225.333
370,29158199917047,306.1,188.6,303.667,225.333
371,29158229727747,306.1,188.6,303.667,225.333
372,29158261946820,306.1,188.6,303.5,225.5
373,29158292977596,306.1,188.6,303.5,225.5
374,29158324353432,306.1,188.6,303.5,225.5
375,29158356129489,306.1,188.6,303.5,225.5
376,29158386373701,305.571,188.714,303.5,225.5
377,29158402687965,306.1,188.6,303.5,225.5
378,29158418426832,306.1,188.6,303.5,225.5
379,29158432291089,306.1,188.6,303.5,225.5
380,29158448587317,306.1,188.6,303.5,225.5
381,29158466858865,306.1,188.6,303.5,225.5
382,29158495286922,306.1,188.6,303.5,225.5
383,29158526684844,306.1,188.6,303.5,225.5
384,29158558695288,306.1,188.6,303.5,225.5
385,29158591495536,306.1,188.6,303.5,225.5
386,29158620822099,305.571,188.714,303.5,225.5
387,29158636843197,306.1,188.6,303.5,225.5
388,29158653416796,306.1,188.6,303.5,225.5
389,29158668528885,305.571,188.714,303.5,225.5
390,29158683802569,306.1,188.6,303.5,225.5
391,29158715259756,306.1,188.6,303.5,225.5
392,29158729818993,305.667,188.833,303.5,225.5
393,29158745596119,306.1,188.6,303.5,225.5
394,29158761997620,306.1,188.6,303.5,225.5
395,29158792948773,306.1,188.6,303.5,225.5
396,29158808654511,305.571,188.714,303.5,225.5
397,29158823966994,306.1,188.6,303.5,225.5
398,29158840226178,305.667,188.833,303.5,225.5
399,29158856454852,305.571,188.714,303.5,225.5
400,29158886072691,305.875,189.25,303.5,225.5
401,29158901254764,305.667,188.833,303.5,225.5
402,29158916582205,305.857,189,303.5,225.5
403,29158933554567,305.667,188.833,303.5,225.5
404,29158965769671,305.667,188.833,303.5,225.5
405,29158979552928,306.222,189.111,303.5,225.5
406,29158998491457,305.857,189,303.5,225.5
407,29159027429652,306.222,189.111,303.5,225.5
408,29159042314887,305.667,188.833,303.5,225.5
409,29159058780405,305.875,189.25,303.5,225.5
410,29159074677816,305.875,189.25,303.5,225.5
411,29159104806225,305.857,189,303.5,225.5
412,29159121426615,305.857,189,303.5,225.5
413,29159141102676,305.667,188.833,303.5,225.5
414,29159167963680,305.875,189.25,303.5,225.5
415,29159198998506,305.875,189.25,303.5,225.5
416,29159215413750,305.857,189,303.5,225.5
417,29159229635055,305.875,189.25,303.5,225.5
418,29159262170028,305.857,189,303.5,225.5
419,29159292326355,305.875,189.25,303.5,225.5
420,29159324751951,305.875,189.25,303.5,225.5
421,29159354797092,305.875,189.25,303.5,225.5
422,29159386156620,305.857,189,303.5,225.5
423,29159416634436,306,189.286,303.5,225.5
424,29159449134390,306.222,189.111,304,226
425,29159480038185,306,189,303.5,225.5
426,29159512162947,306.25,188.875,304,226
427,29159542044144,306.222,189.111,304,226
428,29159574256791,306.222,189.111,304,226
429,29159604387441,306,189.286,304,226
430,29159622058023,306,189.286,304,226
431,29159637914934,306.222,189.111,304,226
432,29159652728916,306,189.286,304,226
433,29159668535823,306,188.667,304,226
434,29159698922406,306.222,189.111,0,0
435,29159730887274,306.25,188.875,303,226
436,29159760769038,306.222,189.111,0,0
437,29159791750998,306.25,188.875,304,225
438,29159809471017,306.222,189.111,304,225
439,29159824395915,306.25,188.875,303.5,225.5
440,29159839444230,305.833,189.167,0,0
441,29159854526295,306.222,189.111,303.5,225.5
442,29159870039928,306.25,188.875,304,225
443,29159886697335,306.25,188.875,304,225
444,29159918641953,306,189,303.5,225.5
445,29159949055212,306.25,188.875,303.5,225.5
446,29159980140258,305.8,188.8,303.5,225.5
447,29160011756826,306.25,188.875,304,225
448,29160042536961,305.667,188.667,303.5,225.5
449,29160074512170,305.8,188.8,303.5,225.5
450,29160105943032,306,189,303.5,225.5
451,29160137030157,306,189.286,304,225
452,29160166990464,306,189.286,303.5,225.5
453,29160198300771,306.25,188.875,303.5,225.5
454,29160229739949,305.833,189.167,303.5,225.5
455,29160245657529,305.875,189.25,304,225
456,29160261769887,306,189,303.5,225.5
457,29160293657508,305.857,189,304,225
458,29160324812673,305.857,189,304,225
459,29160340442460,305.857,189,304,225
460,29160357877170,305.875,189.25,303.5,225.5
461,29160369542844,305.857,189,0,0
462,29160385589511,305.875,189.25,304,225
463,29160405905391,305.857,189,304,225
464,29160433825065,305.875,189.25,304,225
465,29160464210271,305.857,189,304,226
466,29160495584703,305.857,189,0,0
467,29160527658759,305.875,189.25,304,226
468,29160558446346,305.857,189,304,226
469,29160589860387,305.857,189,304,226
470,29160624241512,305.857,189,303.5,225.5
471,29160651087126,305.857,189,304,226
472,29160667470105,305.857,189,304,226
473,29160685400643,305.667,188.833,304,226
474,29160714977523,305.857,189,303.5,225.5
475,29160746055495,305.667,188.833,303.5,225.5
476,29160779951619,306.2,189.3,303.5,225.5
477,29160809000001,305.875,189.25,303.5,225.5
478,29160826982352,305.875,189.25,303.5,225.5
479,29160854157096,305.857,189,303.5,225.5
480,29160870065928,305.857,189,303.5,225.5
481,29160885361050,305.857,189,303.5,225.5
482,29160901374723,305.857,189,303.5,225.5
483,29160934069131,305.857,189,303.5,225.5
484,29160964784817,305.857,189,303.5,225.5
485,29160996465510,305.857,189,303.5,225.5
486,29161026849744,305.857,189,303.5,225.5
487,29161042469703,305.857,189,303.5,225.5
488,29161060517475,305.875,189.25,303.5,225.5
489,29161090365381,305.857,189,303.5,225.5
490,29161105843347,305.857,189,303.5,225.5
491,29161121446647,305.875,189.25,304,226
492,29161135814184,305.667,188.833,303.5,225.5
493,29161152778959,305.875,189.25,304,226
494,29161182968955,305.857,189,303.5,225.5
495,29161214454303,305.857,189,304,226
496,29161246809267,305.875,189.25,304,226
497,29161277785962,305.857,189,304,226
498,29161294954074,305.875,189.25,304,226
499,29161324036503,305.667,188.833,304,226
500,29161355302827,306.222,189.111,304,226
501,29161387267128,305.857,189,304,226
502,29161417070754,305.667,188.833,304,226
503,29161448960778,305.714,189.143,304,226
504,29161480357323,305.857,189,304,226
505,29161511805249,306.2,189.3,304,226
506,29161542937653,305.857,189,304,226
507,29161573016274,305.667,188.833,304,226
508,29161589840838,305.875,189.25,303.5,225.5
509,29161606421862,305.857,189,304,226
510,29161622292516,305.857,189,304,226
511,29161638155691,305.714,189.143,304,226
512,29161652396355,305.857,189,304,226
513,29161668373686,305.857,189,303.5,225.5
514,29161683758880,305.857,189,304,226
515,29161698978402,305.857,189,303.5,225.5
516,29161731259575,305.857,189,304,226
517,29161761260733,305.857,189,303.5,225.5
518,29161792668672,305.875,189.25,303.5,225.5
519,29161809612171,305.667,188.833,304,226
520,29161826242740,305.857,189,303.5,225.5
521,29161841821146,305.857,189,303.5,225.5
522,29161870662087,305.875,189.25,303.5,225.5
523,29161902045456,305.667,188.833,303.5,225.5
524,29161933299711,305.857,189,303.5,225.5
525,29161963927188,305.857,189,303.5,225.5
526,29161995264792,305.857,189,303.5,225.5
527,29162026404567,305.857,189,303.5,225.5
528,29162057742738,306.125,189,303.5,225.5
529,29162073883986,305.857,189,303.5,225.5
530,29162094755877,305.857,189,303.5,225.5
531,29162120758470,305.667,188.833,303.5,225.5
532,29162153244222,305.667,188.833,303.5,225.5
533,29162183482170,306.3,188.8,303.5,225.5
534,29162198008089,305.857,189,303.5,225.5
535,29162216025945,305.857,189,303.5,225.5
536,29162245263138,305.667,188.833,303.5,225.5
537,29162277863586,305.667,188.833,303.5,225.5
538,29162308441761,306.1,188.6,303.5,225.5
539,29162324193615,305.75,188.875,303.5,225.5
540,29162340546597,306.1,188.6,303.5,225.5
541,29162356251579,306.1,188.6,303.5,225.5
542,29162370674439,306.1,188.6,303.5,225.5
543,29162402100981,306.1,188.6,303.5,225.5
544,29162419846731,306.1,188.6,303.5,225.5
545,29162449838358,306.1,188.6,303.5,225.5
546,29162480558958,306.1,188.6,303.5,225.5
547,29162497047615,306.1,188.6,303.5,225.5
548,29162513252313,306.273,188.636,303.5,225.5
549,29162527899570,306.1,188.6,303.5,225.5
550,29162543238189,306.1,188.6,303.5,225.5
551,29162558162952,306.273,188.636,303.5,225.5
552,29162573802162,306.1,188.6,304,226
553,29162604763170,306.417,188.75,303.5,225.5
554,29162636239824,306.417,188.75,303.5,225.5
555,29162668314987,306.417,188.75,304,226
556,29162685471084,306.417,188.75,304,226
557,29162700480114,306.273,188.636,304,226
558,29162716741431,306.444,189.111,303.5,225.5
559,29162731779000,306.444,189.111,304,226
560,29162746755549,306.444,189.111,304,226
561,29162778362559,306.444,189.111,304,226
562,29162813544666,306.444,189.111,304,226
563,29162839271535,306.444,189.111,304,226
564,29162871055206,306.625,189.25,304,226
565,29162887203339,306.444,189.111,304,226
566,29162902969287,306.444,189.111,304,226
567,29162919199527,306.444,189.111,304,226
568,29162934636399,306.625,189.25,304,226
569,29162950852923,306.444,189.111,304,226
570,29162965447719,306.444,189.111,304,226
571,29162980926414,306.444,189.111,304,226
572,29163011138037,306.444,189.111,304,226
573,29163042423774,306.625,189.25,304,226
574,29163072930480,306.625,189.25,304,226
575,29163088539423,306.444,189.111,304,225
576,29163104312229,306.625,189.25,304,226
577,29163119936994,306.444,189.111,303,226
578,29163137901012,306.625,189.25,304,226
579,29163168260271,306.444,189.111,304,226
580,29163199153887,306.625,189.25,304,226
581,29163229675848,306.625,189.25,304,226
582,29163262522239,306.625,189.25,304,226
583,29163293458839,306.625,189.25,304,226
584,29163309517251,306.444,189.111,304,226
585,29163323889054,306.625,189.25,304,226
586,29163339399825,306.444,189.111,304,226
587,29163354980229,306.625,189.25,304,226
588,29163371303403,306.444,189.111,304,226
589,29163388742568,306.444,189.111,304,226
590,29163417571359,306.444,189.111,304,226
