Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-29 19:44:28
frame,cam_timestamp,sys_timestamp, green_x,green_y,red_x,red_y
114,6307010394228,720693843105473,303.529,211,318.5,177.5
115,6307030407276,720693861058388,303.529,211,318.5,177.5
116,6307050418110,720693881163383,303.444,210.944,318.5,177.5
117,6307070426892,720693905601053,303.4,211,318.5,177.5
118,6307090437753,720693936034720,303.556,211.167,318.5,177.5
119,6307110450450,720693967408835,303.412,211.176,318.5,177.5
120,6307130461932,720693983504522,303.5,211.111,318.5,177.5
121,6307150471578,720693999727675,303.471,211.294,318.5,177.5
122,6307170480441,720694014462878,303.471,211.294,318.5,177.5
123,6307190491194,720694030121419,303.471,211.294,318.5,177.5
124,6307210504269,720694046785425,303.214,210.857,318.5,177.5
125,6307230515724,720694062514970,303.471,211.294,318.5,177.5
126,6307250525370,720694081308813,302.929,210.857,318.5,177.5
127,6307270536555,720694101248417,303.235,210.647,318.5,177.5
128,6307290549441,720694124741647,303,210.813,318.5,177.5
129,6307310560923,720694156114336,303.222,211.056,318.5,177.5
130,6307330570002,720694186541444,303.333,210.833,318.5,177.5
131,6307350583293,720694219035085,303.111,210.889,318.5,177.5
132,6307370589942,720694248388862,303.167,210.833,318.5,177.5
133,6307390602909,720694265041746,302.938,210.75,318.667,177.667
134,6307410614121,720694280745058,302.941,210.647,318.667,177.667
135,6307430623308,720694296414150,302.5,210.5,318.667,177.667
136,6307450634088,720694312092938,302.824,210.235,318.667,177.667
137,6307470647676,720694326884317,302.533,210.6,318.667,177.667
138,6307490658456,720694343540053,302.722,210.444,318.667,177.667
139,6307510667319,720694358244174,302.882,210.471,319,177.5
140,6307530678099,720694374865691,302.611,210.5,319,177.5
141,6307550691120,720694389573234,302.684,210.632,319,177.5
142,6307570704087,720694406242942,302.81,210.333,319,177.5
143,6307590715488,720694421513100,302.611,210.5,319,177.5
144,6307610724351,720694441476657,302.684,210.053,319,177.5
145,6307630735428,720694467092311,302.684,210.053,319,177
146,6307650749016,720694483770288,302.684,210.053,319,177
147,6307670760093,720694501585758,302.684,210.053,0,0
148,6307690768929,720694521414435,302.778,209.944,0,0
149,6307710779520,720694541388828,302.611,209.944,0,0
150,6307730792811,720694562288270,302.722,209.944,0,0
151,6307750805697,720694581421735,302.682,209.955,0,0
152,6307770816531,720694601542129,302.727,209.636,0,0
153,6307790825124,720694624395467,302.778,209.5,320,177
154,6307810836606,720694655719108,302.6,209.7,320,177
155,6307830850383,720694670416101,302.778,209.5,319.5,177.5
156,6307850861136,720694687130293,302.882,209.471,319.5,177.5
157,6307870869999,720694701845536,302.875,209.313,319.5,177.5
158,6307890880887,720694721546748,302.882,209.471,319.5,177.5
159,6307910893854,720694750137730,302.65,209.7,319.5,177.5
160,6307930902609,720694780594495,302.579,209.842,319.5,177.5
161,6307950913470,720694811027306,302.75,209.688,319.5,177.5
162,6307970926167,720694827735511,302.579,210.105,319.5,177.5
163,6307990937325,720694843376658,302.474,209.895,319.5,177.5
164,6308010946971,720694859024363,302.5,210,319.5,177.5
165,6308030958129,720694874812937,302.813,209.938,320,177
166,6308050971042,720694889529319,302.444,210,320,177
167,6308070982497,720694905176740,302.5,210,320,177
168,6308090991576,720694921711284,302.529,209.882,320,177
169,6308111004867,720694941691380,303,210.25,320,177
170,6308131011516,720694968748788,302.875,209.813,320,177
171,6308151024267,720694983968187,303.25,210.25,320,177
172,6308171036019,720695001687559,303.154,210.385,320,177
173,6308191044774,720695021745788,302.737,210.053,320,177
174,6308211055608,720695046281837,302.444,210,320,177
175,6308231068953,720695061844851,303,210.5,320,177
176,6308251079598,720695081850897,302.529,209.882,320,177
177,6308271088812,720695108255580,302.526,210.105,320,177
178,6308291099673,720695124899624,302.889,209.556,320,177
179,6308311112559,720695141794036,302.706,210.118,320,177
180,6308331125526,720695161915855,302.526,210.105,319.5,177.5
181,6308351136738,720695187711443,302.778,209.667,320,177
182,6308371145898,720695203380251,302.474,209.895,319.5,177.5
183,6308391156975,720695221757479,302.5,210,319.5,177.5
184,6308411170590,720695241833388,302.524,209.857,319.5,177.5
185,6308431181667,720695265316923,302.5,210,319.5,177.5
186,6308451190503,720695281837209,302.571,209.619,319.5,177.5
187,6308471201283,720695301954180,302.833,209.389,319.5,177.5
188,6308491214061,720695328350879,302.842,209.526,319.5,177.5
189,6308511227271,720695358746335,302.833,209.389,319.5,177.5
190,6308531238051,720695373626398,302.737,209.842,319.5,177.5
191,6308551246887,720695390173489,302.833,209.778,319.5,177.5
192,6308571257964,720695404859645,302.842,209.632,319.5,177.5
193,6308591271579,720695421997867,302.842,209.632,319.5,177.5
194,6308611282656,720695441926634,302.667,209.81,320,177
195,6308631291519,720695462004539,302.667,209.81,320,177
196,6308651302407,720695483327440,302.762,209.524,319.5,177.5
197,6308671315374,720695502099040,302.619,210.095,0,0
198,6308691328260,720695530504100,302.667,210,0,0
199,6308711339094,720695560889575,302.688,210.25,0,0
200,6308731351818,720695592275096,302.588,210.353,319,178
201,6308751362976,720695607922802,302.688,210.25,319,178
202,6308771372622,720695624590514,302.8,210.05,319,178
