frame,timestamp,framerate
0,264951025281450,3.77499e-06
1,264951329079834,3.29166
2,264951424427121,10.488
3,264951506295198,12.2148
4,264951640698228,7.44031
5,264951768528351,7.82288
6,264951877931406,9.14051
7,264951971710533,10.6634
8,264952088231382,8.58216
9,264952185548670,10.2757
10,264952283864040,10.1713
11,264952379835837,10.4197
12,264952479086757,10.0755
13,264952564984287,11.6418
14,264952691371611,7.91219
15,264952801863576,9.05043
16,264952921257468,8.37564
17,264953019443508,10.1847
18,264953133911358,8.73608
19,264953239434891,9.47656
20,264953332306359,10.7676
21,264953429300457,10.3099
22,264953534379111,9.51668
23,264953680205409,6.85747
24,264953784972402,9.54499
25,264953878246251,10.7211
26,264953971335123,10.7424
27,264954066218010,10.5393
28,264954165840288,10.0379
29,264954261016935,10.5068
30,264954362719725,9.83257
31,264954481915410,8.38957
32,264954587338908,9.48555
33,264954677814045,11.0528
34,264954768622470,11.0122
35,264954862178469,10.6888
36,264954957344154,10.508
37,264955050291438,10.7588
38,264955144237695,10.6444
39,264955241509029,10.2805
40,264955331110392,11.1605
41,264955425749631,10.5664
42,264955540853871,8.68778
43,264955628511585,11.408
44,264955723042554,10.5785
45,264955816410633,10.7103
46,264955913527932,10.2968
47,264956003043759,11.1712
48,264956115532725,8.88976
49,264956206776660,10.9596
50,264956300183781,10.7058
51,264956410051479,9.10186
52,264956510245239,9.98066
53,264956597203761,11.4997
54,264956722757001,7.96475
55,264956815413711,10.7925
56,264956925549816,9.07967
57,264957034398507,9.18707
58,264957132167937,10.2281
59,264957222558321,11.0631
60,264957316968978,10.592
61,264957409374345,10.8219
62,264957540369246,7.63388
63,264957643867293,9.66202
64,264957758207217,8.74585
65,264957863564484,9.49151
66,264957978699234,8.68548
67,264958081224201,9.75372
68,264958198547787,8.52344
69,264958315404921,8.55746
70,264958409903760,10.5821
71,264958492140009,12.1601
72,264958582182147,11.1059
73,264958681261563,10.0929
74,264958784145711,9.71967
75,264958883397657,10.0754
76,264958987269384,9.62726
77,264959081579979,10.6033
78,264959191131426,9.12813
79,264959315431002,8.04508
80,264959419916547,9.5707
81,264959504946459,11.7606
82,264959612363502,9.30951
83,264959727639165,8.67486
84,264959821955241,10.6026
85,264959938827090,8.55638
86,264960050109372,8.98616
87,264960161998614,8.93741
88,264960270010845,9.25821
89,264960378366462,9.22887
90,264960488755071,9.05891
91,264960587793069,10.0971
92,264960687250701,10.0545
93,264960813531672,7.91885
94,264960909310311,10.4407
95,264961053281304,6.94584
96,264961160461908,9.33005
97,264961299952440,7.16895
98,264961413455877,8.81031
99,264961503934902,11.0523
