Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
First frame system timestamp:  2017-11-30_11-29-12
frame,cam_timestamp,sys_timestamp,green_x,green_y,red_x,red_y
1,4323938880609,777374879859645,187,483,315,396
2,4323968886438,777375077124704,187,483,0,0
3,4323998901960,777375093470189,187,483,0,0
4,4324028914269,777375109232813,193,479,0,0
5,4324058928873,777375123934083,187,483,0,0
6,4324088944368,777375156390368,49,453,0,0
7,4324118959890,777375187776744,129,439,0,0
8,4324148974089,777375218158513,165,497,0,0
9,4324178985210,777375232834688,165,497,315,396
10,4324208992605,777375248549406,165,497,0,0
11,4324238998677,777375264474854,181,487,0,0
12,4324269014172,777375279966579,263,433,0,0
13,4324299029694,777375295608296,175,491,0,0
14,4324329043893,777375312356993,175,491,0,0
15,4324359055311,777375343008805,175,491,0,0
16,4324389066432,777375375315953,175,491,0,0
17,4324419076959,777375405520354,175,491,0,0
18,4324449083949,777375436831449,175,491,0,0
19,4324479095394,777375467287358,175,491,0,0
20,4324509109647,777375499672924,165,497,0,0
21,4324539125088,777375530109443,77,452,0,0
22,4324569140610,777375561496960,165,497,0,0
23,4324599154539,777375593871120,165,497,0,0
24,4324629162150,777375624251748,181,487,0,0
25,4324659169221,777375654776950,77,452,0,0
26,4324689183825,777375686137662,77,452,0,0
27,4324719196512,777375717591620,59,442,0,0
28,4324749203664,777375749990304,193,479,0,0
29,4324779217890,777375780463893,187,483,0,0
30,4324809237273,777375810821138,171,493,0,0
31,4324839252714,777375826544980,171,493,0,0
32,4324869271044,777375843129141,171,493,0,0
33,4324899286512,777375857898278,129,439,0,0
34,4324929293934,777375874556866,59,442,301,175
35,4324959301869,777375900146570,76,449,315,396
36,4324989311424,777375930148794,57,440,0,0
37,4325019326622,777375960223163,77,452,0,0
38,4325049342684,777375990295821,129,439,0,0
39,4325079356316,777376020322284,57,440,0,0
40,4325109367788,777376050296563,56,439,0,0
41,4325139375399,777376080372072,129,439,0,0
42,4325169381228,777376110314699,129,439,301,175
43,4325199396723,777376140311505,171,493,315,396
44,4325229409113,777376171053997,177,489,301,175
45,4325259423636,777376201591176,171,493,0,0
46,4325289438942,777376233988719,187,483,0,0
47,4325319454896,777376264507647,241,447,0,0
48,4325349468771,777376295852676,49,453,0,0
49,4325379479892,777376320393288,165,497,0,0
50,4325409487287,777376350407489,165,497,0,0
51,4325439493359,777376380511514,165,497,0,0
52,4325469508881,777376436464737,77,452,0,0
53,4325499524376,777376467844555,193,479,0,0
54,4325529538629,777376483939387,187,483,0,0
55,4325559550020,777376500447696,193,479,0,0
56,4325589561141,777376530460756,193,479,0,0
57,4325619571668,777376561221498,193,479,0,0
58,4325649578658,777376592616999,171,493,0,0
59,4325679590103,777376620537007,187,483,0,0
60,4325709604383,777376654844817,171,493,0,0
61,4325739619851,777376686219787,171,493,315,396
62,4325769635319,777376718584252,171,493,0,0
63,4325799649572,777376749986312,171,493,0,0
64,4325829656967,777376780435377,171,493,312,191
65,4325859663957,777376811797515,171,493,312,191
66,4325889678534,777376842365206,171,493,0,0
67,4325919693840,777376873865360,187,483,0,0
68,4325949708957,777376905237763,171,493,0,0
69,4325979723561,777376921892929,171,493,0,0
70,4326009734655,777376950681810,193,479,0,0
71,4326039742077,777376983069087,193,479,309,191
72,4326069756276,777377015405607,187,483,0,0
73,4326099767694,777377046810233,171,493,0,0
74,4326129783216,777377077254451,171,493,0,0
75,4326159795228,777377109608365,171,493,0,0
76,4326189808860,777377139084474,171,493,315,396
77,4326219819981,777377160764677,171,493,0,0
78,4326249831993,777377190815377,171,493,0,0
79,4326279841683,777377220803059,165,497,0,0
80,4326309853263,777377250755951,77,452,0,0
81,4326339865167,777377281498157,191,481,315,396
82,4326369878718,777377310911247,77,452,315,396
83,4326399894024,777377342817750,193,479,0,0
84,4326429905766,777377370846117,177,489,0,0
85,4326459915591,777377405164193,49,453,315,396
86,4326489927036,777377436609026,47,428,0,0
87,4326519938508,777377468133419,77,452,0,0
88,4326549948684,777377499273134,165,497,0,0
89,4326579964125,777377529677430,59,442,0,0
90,4326609979647,777377561210947,77,452,0,0
91,4326639993900,777377592546566,59,442,0,0
92,4326670000917,777377610943185,77,452,0,0
93,4326700008285,777377640959952,59,442,0,0
94,4326730018488,777377670907996,165,497,0,0
95,4326760033929,777377702440088,165,497,0,0
96,4326790049424,777377732921091,165,497,0,0
97,4326820063380,777377765276146,165,497,0,0
98,4326850075149,777377796684764,86,454,0,0
99,4326880086216,777377827107880,193,479,0,0
100,4326910092639,777377850968678,171,493,0,0
101,4326940107837,777377881143422,171,493,0,0
102,4326970123305,777377911068654,59,442,315,396
103,4327000137558,777377941057761,171,493,0,0
104,4327030148652,777377971080231,171,493,0,0
105,4327060160394,777378001065061,171,493,0,0
106,4327090170273,777378031110344,171,493,0,0
107,4327120182015,777378061723945,57,440,0,0
108,4327150189221,777378092132233,171,493,0,0
109,4327180203420,777378121046298,171,493,0,0
110,4327210226853,777378151023713,187,483,0,0
111,4327240242375,777378181079547,193,479,0,0
112,4327270264674,777378211213229,193,479,0,0
113,4327300280196,777378241133898,187,483,315,396
114,4327330287564,777378271194294,165,497,0,0
115,4327360295580,777378301148042,165,497,0,0
116,4327390305081,777378331163953,165,497,315,396
117,4327420320279,777378361228912,165,497,0,0
118,4327450336395,777378391247961,59,442,0,0
119,4327480350000,777378421285829,181,487,0,0
120,4327510361418,777378452690456,175,491,0,0
121,4327540369110,777378484135575,129,439,0,0
122,4327570378935,777378514646519,169,495,0,0
123,4327600390380,777378547054898,185,485,0,0
124,4327630402770,777378577419557,185,485,0,0
125,4327660417023,777378608768292,185,485,0,0
126,4327690432788,777378631390368,185,485,0,0
127,4327720448310,777378661449909,185,485,0,0
128,4327750462563,777378691389684,163,499,315,396
129,4327780475196,777378721352271,195,477,315,396
130,4327810490718,777378751415519,185,485,0,0
131,4327840504944,777378781446544,185,485,0,0
132,4327870516011,777378811675468,185,485,0,0
133,4327900523406,777378843051579,185,485,315,396
134,4327930533609,777378873495796,191,481,0,0
135,4327960548807,777378901483671,129,439,315,396
136,4327990564572,777378931546064,129,439,0,0
137,4328020578501,777378961423674,191,481,0,0
138,4328050590270,777378991585016,59,442,0,0
139,4328080601337,777379021557299,77,452,315,396
140,4328110611837,777379051525019,175,491,315,396
141,4328140618935,777379081438560,175,491,0,0
142,4328170630353,777379111646097,175,491,0,0
143,4328200644552,777379141513157,175,491,0,0
144,4328230655727,777379171555588,129,439,315,396
145,4328260667469,777379201553250,175,491,0,0
146,4328290681371,777379233744054,175,491,0,0
147,4328320693113,777379265201434,175,491,0,0
148,4328350700184,777379296612049,175,491,0,0
149,4328380714707,777379326964446,175,491,315,396
150,4328410727394,777379351717215,175,491,0,0
151,4328440739784,777379381566310,175,491,315,396
152,4328470754037,777379411674898,77,452,0,0
153,4328500769802,777379441628930,49,453,0,0
154,4328530785000,777379471680202,181,487,0,0
155,4328560797066,777379501805614,181,487,312,191
156,4328590810617,777379531668681,175,491,0,0
157,4328620821765,777379562504990,181,487,0,0
158,4328650833831,777379593931858,181,487,0,0
159,4328680843386,777379623416237,181,487,315,396
160,4328710855101,777379651797914,181,487,0,0
161,4328740866546,777379681734267,181,487,315,396
162,4328770880502,777379711741054,181,487,0,0
163,4328800895943,777379741741567,175,491,0,0
164,4328830907685,777379771899202,129,439,0,0
165,4328860921641,777379801955606,181,487,0,0
166,4328890928658,777379831794721,175,491,315,396
167,4328920940400,777379861802078,175,491,0,0
168,4328950950279,777379891855915,175,491,0,0
169,4328980965774,777379921850440,49,453,0,0
170,4329010981566,777379952864116,77,452,0,0
171,4329040995495,777379983851843,175,491,315,396
172,4329071002890,777380015284415,49,453,315,396
173,4329101010204,777380041862759,175,491,0,0
174,4329131020407,777380071902339,129,440.5,0,0
175,4329161035578,777380101934505,175,491,315,396
176,4329191051343,777380131909069,129,439,315,396
177,4329221065299,777380162055867,175,491,0,0
178,4329251076744,777380191933193,181,487,0,0
179,4329281088189,777380221993019,129,439,0,0
180,4329311098365,777380251971860,165,497,315,396
181,4329341109783,777380281974655,58,441,0,0
182,4329371124981,777380311990567,77,452,315,396
183,4329401139477,777380342522327,165,497,0,0
184,4329431154675,777380373924102,77,452,0,0
185,4329461166255,777380405336998,77,452,0,0
186,4329491176458,777380437687205,129,439,0,0
187,4329521183772,777380462080676,165,497,0,0
188,4329551190870,777380492129951,165,497,0,0
189,4329581205393,777380522045203,129,439,0,0
190,4329611220672,777380552213673,165,497,0,0
191,4329641235843,777380582075600,165,497,0,0
192,4329671254497,777380612146262,165,497,0,0
193,4329701269614,777380642208655,165,497,0,0
194,4329731277333,777380672179512,175,491,0,0
195,4329761285025,777380702134115,175,491,0,0
196,4329791294580,777380733478002,175,491,315,396
197,4329821310048,777380764906582,175,491,0,0
198,4329851326191,777380796353982,247,443,0,0
199,4329881339796,777380826699535,191,481,0,0
200,4329911350890,777380858204822,191,481,0,0
201,4329941358879,777380882235003,169,495,0,0
202,4329971372538,777380912367259,185,485,0,0
