Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
First frame system timestamp:  2017-11-30_11-31-30
frame,cam_timestamp,sys_timestamp,green_x,green_y,red_x,red_y
1,4462084989837,777513023968301,149,497,0,0
2,4462115001606,777513234069988,169,483,0,0
3,4462145012700,777513249882515,169,483,0,0
4,4462175019177,777513265428705,175,479,0,0
5,4462205034375,777513280255728,147,499,0,0
6,4462235049816,777513295948489,155,493,0,0
7,4462265064123,777513311565112,161,489,0,0
8,4462295075271,777513327658233,161,489,0,0
9,4462325086986,777513343942980,161,489,0,0
10,4462355096892,777513359588404,161,489,0,0
11,4462385108661,777513374439381,161,489,0,0
12,4462415115894,777513389227908,167,485,0,0
13,4462445130093,777513420632250,55,438,0,0
14,4462475153553,777513437248063,59,442,0,0
15,4462505169075,777513452973332,86,454,0,0
16,4462535191401,777513474120575,77,452,0,0
17,4462565206950,777513504131639,167,485,0,0
18,4462595214345,777513534063430,167,485,0,0
19,4462625222361,777513564037138,161,489,0,0
20,4462655231916,777513594098675,175,479,0,0
21,4462685247114,777513624735374,155,493,0,0
22,4462715263284,777513654145612,155,493,0,0
23,4462745276862,777513684176067,155,493,0,0
24,4462775288334,777513714161752,155,493,0,0
25,4462805296053,777513744182226,155,493,0,0
26,4462835305905,777513774247185,155,493,0,0
27,4462865317350,777513804182682,155,493,0,0
28,4462895329767,777513834223688,155,493,0,0
29,4462925344047,777513864249295,147,499,0,0
30,4462955359839,777513894217871,169,483,0,0
31,4462985375334,777513924234353,77,452,0,0
32,4463015389641,777513954259105,59,442,0,0
33,4463045402301,777513984376817,157,491,0,0
34,4463075417796,777514014898027,55,438,0,0
35,4463105432103,777514045219913,185,471,0,0
36,4463135443251,777514074306783,185,471,0,0
37,4463165450565,777514104314995,171,481,0,0
38,4463195460795,777514134328911,171,481,0,0
39,4463225476020,777514164301764,151,495,0,0
40,4463255491785,777514194388680,151,495,0,0
41,4463285505741,777514224427404,151,495,0,0
42,4463315517537,777514254406246,151,495,0,0
43,4463345528631,777514284427575,151,495,0,0
44,4463375539131,777514314377331,151,495,0,0
45,4463405546256,777514344425750,151,495,0,0
46,4463435557701,777514374944964,159,489,0,0
47,4463465571900,777514405545733,187,469,0,0
48,4463495583075,777514436955492,153,493,0,0
49,4463525594871,777514468283126,145,499,0,0
50,4463555608773,777514494515290,167,483,0,0
51,4463585620542,777514524483580,49,453,0,0
52,4463615627640,777514554493789,189,467,0,0
53,4463645642163,777514584505994,189,467,0,0
54,4463675654877,777514614599183,145,499,0,0
55,4463705667294,777514644576884,165,485,0,0
56,4463735681574,777514674550307,179,475,0,0
57,4463765697339,777514704556238,159,489,0,0
58,4463795712564,777514734588689,159,489,0,0
59,4463825724657,777514764576085,159,489,0,0
60,4463855738262,777514795869785,159,489,0,0
61,4463885749410,777514827295513,151,495,0,0
62,4463915761503,777514854638078,151,495,0,0
63,4463945771085,777514884626330,171,481,0,0
64,4463975782827,777514914650511,151,495,0,0
65,4464005794272,777514944705204,151,495,0,0
66,4464035808255,777514974688038,159,489,0,0
67,4464065823723,777515004656613,159,489,0,0
68,4464095835492,777515034796283,159,489,0,0
69,4464125849475,777515064712390,159,489,0,0
70,4464155856492,777515094702923,159,489,0,0
71,4464185868288,777515125093531,179,475,0,0
72,4464215878167,777515154743016,151,495,0,0
73,4464245893716,777515187234376,179,475,0,0
74,4464275909481,777515218760764,159,489,0,0
75,4464305923464,777515249135689,151,495,0,0
76,4464335930859,777515280515221,151,495,0,0
77,4464365938200,777515310965427,77,452,0,0
78,4464395948430,777515334822233,163,487,0,0
79,4464425963655,777515364868941,149,497,0,0
80,4464455979420,777515394906525,175,479,0,0
81,4464485993376,777515424872819,175,479,0,0
82,4464516004848,777515454923235,197,463,0,0
83,4464546016320,777515484871565,155,493,0,0
84,4464576026469,777515515619189,161,489,0,0
85,4464606037968,777515546067970,173,481,0,0
86,4464636053166,777515576454015,153,495,0,0
87,4464666067689,777515607873470,153,495,0,0
88,4464696082914,777515640332036,153,495,0,0
89,4464726094521,777515671867835,173,481,0,0
90,4464756104724,777515703240524,173,481,315,396
91,4464786112065,777515733649382,187,471,0,0
92,4464816119163,777515755121705,191,467,0,0
93,4464846133767,777515784928026,161,489,0,0
94,4464876149046,777515815004391,161,489,0,0
95,4464906164244,777515845025721,147,499,0,0
96,4464936182925,777515875035929,59,442,0,0
97,4464966198069,777515905147083,157,491,0,0
98,4464996205761,777515937222969,59,442,0,0
99,4465026213507,777515968680065,57,440,0,0
100,4465056223116,777516000146285,163,487,0,0
101,4465086238557,777516030545733,59,442,0,0
