Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
First frame system timestamp:  2017-11-30_11-28-6
frame,cam_timestamp,sys_timestamp,green_x,green_y,red_x,red_y
1,4257940563342,777308882443168,137,493,0,0
2,4257970570899,777309077152935,127,499,0,0
3,4258000578780,777309092809195,127,499,0,0
4,4258030588308,777309109470064,127,499,0,0
5,4258060603695,777309125155125,127,499,0,0
6,4258090619568,777309139849836,145,489,0,0
7,4258120633497,777309154566504,127,499,0,0
8,4258150640919,777309171230509,127,499,0,0
9,4258180648341,777309185931493,127,499,0,0
10,4258210658598,777309202593502,127,499,0,0
11,4258240674066,777309218291966,127,499,0,0
12,4258270689615,777309232982400,137,493,0,0
13,4258300703922,777309249660092,137,493,0,0
14,4258330715070,777309272527118,137,493,0,0
15,4258360722465,777309302525350,127,499,0,0
16,4258390728672,777309332526148,127,499,0,0
17,4258420744167,777309362619908,137,493,0,0
18,4258450759716,777309392594187,127,499,0,0
19,4258480773672,777309422606677,127,499,0,0
20,4258510785495,777309452575538,127,499,0,0
21,4258540796616,777309482638785,127,499,0,0
22,4258570807170,777309512740815,141,491,0,0
23,4258600814295,777309546743506,171,475,0,0
24,4258630825740,777309572642321,169,477,0,0
25,4258660840020,777309602661940,170,476,0,0
26,4258690855245,777309632708079,170,476,0,0
27,4258720867041,777309662802979,169,477,0,0
28,4258750880997,777309692882195,185,463,301,176
29,4258780888743,777309722715607,131,497,0,0
30,4258810895868,777309752738933,131,497,0,0
31,4258840910418,777309782730321,131,497,301,176
32,4258870923132,777309812876834,131,497,301,176
33,4258900930392,777309843342439,131,497,301,176
34,4258930948695,777309874696022,131,497,0,0
35,4258960972182,777309906027648,131,497,0,0
36,4258990987731,777309932796192,183,465,301,176
37,4259021006088,777309963010573,183,465,0,0
38,4259051021610,777309992982286,183,465,0,0
39,4259081029005,777310022933752,197,453,0,0
40,4259111036778,777310052898620,197,453,0,0
41,4259141046657,777310082916813,135,495,0,0
42,4259171061882,777310112915331,135,495,301,176
43,4259201074299,777310142877918,135,495,0,0
44,4259231087742,777310173001904,135,495,0,0
45,4259261098944,777310202902898,135,495,0,0
46,4259291107311,777310232981829,135,495,0,0
47,4259321120808,777310264618573,135,495,0,0
48,4259351136276,777310292976868,151,487,0,0
49,4259381148720,777310322947154,135,495,0,0
50,4259411163351,777310352953371,135,495,0,0
51,4259441178819,777310383011486,135,495,0,0
52,4259471194368,777310412985194,61,433,0,0
53,4259501208675,777310443085227,183,465,0,0
54,4259531219850,777310473074619,183,465,0,0
55,4259561227245,777310503091957,183,465,0,0
56,4259591233425,777310533096748,131,497,0,0
57,4259621248974,777310563077585,131,497,0,0
58,4259651264469,777310593644990,129,440.5,0,0
59,4259681278776,777310624168482,77,452,0,0
60,4259711290275,777310656507853,199,451,0,0
61,4259741301369,777310683176592,59,442,0,0
62,4259771311950,777310717524038,59,442,0,0
63,4259801319075,777310743256036,185,463,0,0
64,4259831330574,777310773216628,129,442,0,0
65,4259861344827,777310803153266,59,442,0,0
66,4259891360376,777310833264705,185,463,0,0
67,4259921375925,777311061690296,185,463,0,0
68,4259951390178,777311092146490,171,475,0,0
69,4259981397600,777311107829270,169,477,0,0
70,4260011404725,777311123550261,185,463,0,0
71,4260041419275,777311139222776,169,477,0,0
72,4260071432016,777311154975419,170,476,0,0
73,4260101439276,777311170584058,157,483,0,0
74,4260131453583,777311187276579,127,499,0,0
75,4260161472966,777311201682426,141,491,0,0
76,4260191488488,777311217420811,170,476,0,0
77,4260221506872,777311233093896,170,476,0,0
78,4260251522340,777311249734803,170,476,0,0
79,4260281529789,777311265455224,157,483,0,0
80,4260311537859,777311280181587,141,491,0,0
