frame,timestamp,framerate
0,284671035091080,3.518e-06
1,284671290125898,3.92103
2,284671322395704,30.9887
3,284671354444380,31.2025
4,284671385358192,32.348
5,284671417185873,31.4192
6,284671455908976,25.8244
7,284671484695917,34.738
8,284671525228020,24.6718
9,284671556938629,31.5352
10,284671595047482,26.2406
11,284671621199979,38.2373
12,284671656481689,28.3433
13,284671687595382,32.1402
14,284671728377829,24.5204
15,284671759514958,32.116
16,284671795038156,28.1506
17,284671821686103,37.5263
18,284671854914382,30.0948
19,284671885499874,32.6952
20,284671920316698,28.7217
21,284671952364564,31.2033
22,284671979178750,37.2937
23,284672009520999,32.9573
24,284672041248321,31.5186
25,284672071679832,32.8607
26,284672104780077,30.2113
27,284672134771623,33.3427
28,284672168150427,29.9591
29,284672214038331,21.7922
30,284672249712810,28.0312
31,284672275763976,38.386
32,284672308418127,30.624
33,284672345276151,27.1311
34,284672372773950,36.3665
35,284672401360470,34.9815
36,284672437507881,27.6645
37,284672462472243,40.0571
38,284672494884366,30.8527
39,284672525140242,33.0514
40,284672556565353,31.8217
41,284672588202684,31.6082
42,284672624978979,27.1914
43,284672651512473,37.6882
44,284672682180612,32.6071
45,284672715037101,30.4354
46,284672752354530,26.7971
47,284672776492989,41.4277
48,284672807377479,32.3787
49,284672837685816,32.9942
50,284672869292664,31.6387
51,284672900219301,32.3346
52,284672930853582,32.6432
53,284672964292731,29.9051
54,284673002947956,25.8697
55,284673027910131,40.0606
56,284673055989240,35.6137
57,284673087674982,31.5599
58,284673126441960,25.7951
59,284673153001104,37.6518
60,284673183510456,32.7768
61,284673214876302,31.8818
62,284673244850433,33.3621
63,284673277283103,30.8331
64,284673307102659,33.535
65,284673339179280,31.1754
66,284673368943270,33.5976
67,284673400524954,31.6639
68,284673435784227,28.3613
69,284673463025229,36.7094
70,284673494371176,31.9021
71,284673525351732,32.2783
72,284673557069118,31.5284
73,284673588470739,31.8455
74,284673619721403,31.9993
75,284673651321366,31.6456
76,284673681913284,32.6884
77,284673713482143,31.6768
78,284673744153036,32.6042
79,284673775732452,31.6662
80,284673808139769,30.8572
81,284673838721292,32.6995
82,284673869473806,32.5177
83,284673901843755,30.8929
84,284673931567191,33.6435
85,284673967603767,27.7496
86,284673995116875,36.3463
87,284674025231541,33.2064
88,284674058174727,30.3553
89,284674103385822,22.1185
90,284674135082337,31.5492
91,284674170537090,28.205
92,284674197780387,36.7063
93,284674229048142,31.9818
94,284674261312602,30.9939
95,284674291937433,32.6532
96,284674322839581,32.3602
97,284674353658218,32.4479
98,284674391149716,26.6727
99,284674415961690,40.3031
